16.05 20:08:30> Started trip loader task
16.05 20:09:35> Started trip loader task
16.05 20:11:14> Started trip loader task
16.05 20:12:51> Started trip loader task
16.05 20:14:03> Started trip loader task
16.05 20:14:04> 1: [461849] ПИЗА | 7д | 2348 км | 5181р | R1398
16.05 20:14:04> 72: [459096] BANGKOK | 19д | 7068 км | 21594р | R523
16.05 20:14:04> 73: [471859] ДЮССЕЛЬДОРФ | 7д | 2083 км | 7577р | R518
16.05 20:14:04> 74: [472014] МУМБАИ | 16д | 5027 км | 26532р | R512
16.05 20:14:04> 75: [450527] МАДРИД | 5д | 3441 км | 12060р | R511
16.05 20:14:04> 76: [448528] ДУБЛИН | 15д | 2790 км | 14264р | R506
16.05 20:14:04> 77: [459423] БАКУ | 132д | 1925 км | 7552р | R505
16.05 20:14:04> 78: [455521] GOTHENBORG | 4д | 1569 км | 10463р | R504
16.05 20:14:04> 79: [455391] LJUBLJANA | 24д | 1922 км | 12649р | R499
16.05 20:14:04> 80: [447074] ДУБРОВНИК | 7д | 2020 км | 15045р | R498
16.05 20:14:04> 81: [447779] ТОКИО | 7д | 7480 км | 27984р | R497
16.05 20:14:04> 82: [454438] КОЛОМБО | 14д | 6575 км | 24497р | R494
16.05 20:14:04> 83: [460041] АМСТЕРДАМ | 3д | 2148 км | 10260р | R491
16.05 20:14:04> 84: [451218] БАТУМИ | 7д | 1599 км | 13870р | R490
16.05 20:14:04> 85: [459406] МАНЧЕСТЕР | 12д | 2543 км | 13486р | R479
16.05 20:14:04> 86: [459569] МИКОНОС | 11д | 2235 км | 19877р | R479
16.05 20:14:04> 87: [451549] ХОШИМИН | 17д | 7713 км | 23978р | R476
16.05 20:14:04> 88: [455630] MALTA | 8д | 2821 км | 14752р | R467
16.05 20:14:04> 89: [448311] НЯЧАНГ | 11д | 7738 км | 31103р | R461
16.05 20:14:04> 90: [447177] ВЕНЕЦИЯ | 3д | 2103 км | 11013р | R461
16.05 20:14:04> 91: [455882] БАЛИ (ДЕНПАСАР) | 21д | 10047 км | 30187р | R452
16.05 20:14:04> 92: [448574] АНАПА | 8д | 1207 км | 7765р | R448
16.05 20:14:04> 93: [447407] ГУАНЧЖОУ | 7д | 6993 км | 22733р | R445
16.05 20:14:04> 94: [455761] GRAN CANARIA | 12д | 5188 км | 22818р | R444
16.05 20:14:04> 95: [467428] ЛОНДОН | 12д | 2489 км | 11032р | R444
16.05 20:14:04> 96: [471142] НЬЮ-ЙОРК | 12д | 7512 км | 23783р | R443
16.05 20:14:04> 97: [448881] ЙОХАННЕСБУРГ | 16д | 9161 км | 32517р | R441
16.05 20:14:04> 98: [458897] CAPE TOWN | 14д | 10142 км | 38132р | R441
16.05 20:14:04> 99: [449394] СТАМБУЛ | 158д | 1764 км | 6774р | R436
16.05 20:14:04> 100: [466747] КАЛЬЯРИ | 9д | 2788 км | 20483р | R435
16.05 20:14:04> 101: [454461] ГАННОВЕР | 3д | 1845 км | 10824р | R433
16.05 20:14:04> 102: [454915] NEWCASTLE | 12д | 2452 км | 19269р | R430
16.05 20:14:04> 103: [455435] NASSAU | 28д | 9147 км | 44552р | R427
16.05 20:14:04> 104: [459545] МОНПЕЛЬЕ | 9д | 2740 км | 22932р | R423
16.05 20:14:04> 105: [470670] ВЕНА | 9д | 1670 км | 6930р | R418
16.05 20:14:04> 106: [459620] НЮРНБЕРГ | 12д | 1910 км | 12668р | R414
16.05 20:14:04> 107: [450931] КРАКОВ | 5д | 1346 км | 14351р | R412
16.05 20:14:04> 108: [466302] ТАЙБЭЙ | 9д | 7357 км | 32965р | R410
16.05 20:14:04> 109: [454617] BREMEN | 7д | 1876 км | 12444р | R410
16.05 20:14:04> 110: [455706] BERGEN | 6д | 1946 км | 17263р | R404
16.05 20:14:04> 111: [473421] ДУБАЙ | 9д | 3682 км | 16377р | R398
16.05 20:14:04> 112: [448845] ОКЛЕНД | 10д | 16203 км | 48166р | R398
16.05 20:14:04> 113: [454947] PUNTA CANA | 15д | 9267 км | 38427р | R396
16.05 20:14:04> 114: [466970] КАТМАНДУ | 14д | 4894 км | 28756р | R395
16.05 20:14:04> 115: [448261] ГАМБУРГ | 3д | 1782 км | 10083р | R393
16.05 20:14:04> 116: [459586] ИРКУТСК | 8д | 4208 км | 22398р | R392
16.05 20:14:04> 117: [454398] ВАШИНГТОН | 7д | 7824 км | 31824р | R391
16.05 20:14:04> 118: [457263] ЕКАТЕРИНБУРГ | 3д | 1430 км | 4367р | R389
16.05 20:14:04> 119: [459280] АЛИКАНТЕ | 21д | 3410 км | 17419р | R383
16.05 20:14:04> 120: [466675] ЛЬВОВ | 8д | 1128 км | 9955р | R367
16.05 20:14:04> 121: [448723] ХУРГАДА | 7д | 3192 км | 22197р | R366
16.05 20:14:04> 122: [448889] ЧИКАГО | 24д | 8001 км | 32406р | R362
16.05 20:14:04> 123: [465880] СИЕМРЕАП | 10д | 7300 км | 35542р | R361
16.05 20:14:04> 124: [455189] CHRISTCHURCH | 14д | 16573 км | 62247р | R359
16.05 20:14:04> 125: [458997] HELSINKI | 4д | 894 км | 8073р | R357
16.05 20:14:04> 126: [459554] КВИНСТАУН | 14д | 16441 км | 65575р | R356
16.05 20:14:04> 127: [448297] МАЛАГА | 7д | 3779 км | 16224р | R355
16.05 20:14:04> 128: [448157] СИНГАПУР | 14д | 8431 км | 27749р | R353
16.05 20:14:04> 129: [455296] BUCHAREST | 15д | 1499 км | 11029р | R349
16.05 20:14:04> 130: [465922] СИДНЕЙ | 20д | 14500 км | 55623р | R347
16.05 20:14:04> 131: [455826] STUTTGART | 7д | 2067 км | 12290р | R346
16.05 20:14:04> 132: [446775] ПАРИЖ | 10д | 2487 км | 12401р | R342
16.05 20:14:04> 133: [466095] АЛЬГЕРО | 4д | 2714 км | 26056р | R340
16.05 20:14:04> 134: [459459] ТИРАНА | 15д | 2055 км | 16263р | R336
16.05 20:14:04> 135: [458917] EDMONTON | 31д | 7580 км | 59220р | R336
16.05 20:14:04> 136: [465902] ТЕЛЬ-АВИВ | 11д | 2650 км | 12563р | R335
16.05 20:14:04> 137: [448859] КАНКУН | 14д | 10014 км | 43073р | R327
16.05 20:14:04> 138: [448141] ДЖАКАРТА | 25д | 9314 км | 27178р | R321
16.05 20:14:04> 139: [465986] МИНСК | 8д | 675 км | 3553р | R319
16.05 20:14:04> 140: [466521] ОДЕССА | 17д | 1142 км | 10451р | R317
16.05 20:14:04> 141: [459397] ГЛАЗГО | 12д | 2576 км | 21382р | R316
16.05 20:14:04> 142: [447916] МЕЛЬБУРН | 14д | 14431 км | 53979р | R310
16.05 20:14:04> 143: [454621] THESSALONIKI | 8д | 2004 км | 9969р | R310
16.05 20:14:04> 144: [449214] РИО-ДЕ-ЖАНЕЙРО | 17д | 11542 км | 51577р | R309
16.05 20:14:04> 145: [448077] БАНГАЛОР | 7д | 5846 км | 28916р | R307
16.05 20:14:04> 146: [466717] ТОРОНТО | 8д | 7486 км | 34263р | R301
16.05 20:14:04> 147: [458951] SAN JUAN | 14д | 9146 км | 49131р | R297
16.05 20:14:04> 148: [459492] АГРА | 7д | 4519 км | 183177р | R293
16.05 20:14:04> 149: [447684] ЗАГРЕБ | 14д | 1869 км | 13363р | R291
16.05 20:14:04> 150: [459138] COPENHAGEN | 3д | 1559 км | 10541р | R290
16.05 20:14:04> 151: [464465] АТЛАНТА | 137д | 8654 км | 30108р | R289
16.05 20:14:04> 152: [451009] БЕЛГРАД | 7д | 1714 км | 11163р | R288
16.05 20:14:04> 153: [459348] ПХУКЕТ | 15д | 7462 км | 27686р | R284
16.05 20:14:04> 154: [448285] САН-ФРАНЦИСКО | 14д | 9447 км | 34525р | R284
16.05 20:14:04> 155: [466806] КИТО | 49д | 11619 км | 63621р | R283
16.05 20:14:04> 156: [466072] САРАЕВО | 7д | 1905 км | 14229р | R282
16.05 20:14:04> 157: [459123] CINCINNATI | 48д | 8143 км | 39721р | R275
16.05 20:14:04> 158: [466476] ХЬЮСТОН | 29д | 9518 км | 34678р | R272
16.05 20:14:04> 159: [454613] BELFAST | 7д | 2723 км | 21890р | R272
16.05 20:14:04> 160: [448175] ТАЛЛИН | 10д | 867 км | 10066р | R262
16.05 20:14:04> 161: [448688] ФРАНКФУРТ | 4д | 2031 км | 10196р | R261
16.05 20:14:04> 162: [450885] БУЭНОС-АЙРЕС | 31д | 13479 км | 69577р | R256
16.05 20:14:04> 163: [448884] ГОНОЛУЛУ | 16д | 11325 км | 56347р | R252
16.05 20:14:04> 164: [466817] БАНДУНГ | 14д | 9423 км | 46839р | R246
16.05 20:14:04> 165: [466686] СОФИЯ | 30д | 1775 км | 12539р | R245
16.05 20:14:04> 166: [459080] CALGARY | 8д | 7847 км | 54025р | R245
16.05 20:14:04> 167: [459490] ПЕРТ | 14д | 12222 км | 54191р | R234
16.05 20:14:04> 168: [454608] PHILIPSBURG | 8д | 9009 км | 47750р | R234
16.05 20:14:04> 169: [453247] КУАЛА-ЛУМПУР | 14д | 8129 км | 27543р | R227
16.05 20:14:04> 170: [454599] CANBERRA | 14д | 14491 км | 70929р | R220
16.05 20:14:04> 171: [458008] КОЧИ | 18д | 6086 км | 33872р | R217
16.05 20:14:04> 172: [466819] ЧЕННАЙ | 39д | 5991 км | 32599р | R215
16.05 20:14:04> 173: [471434] РИГА | 4д | 849 км | 8309р | R211
16.05 20:14:04> 174: [459262] БОСТОН | 27д | 7221 км | 36233р | R209
16.05 20:14:04> 175: [455626] PORTLAND | 112д | 7070 км | 31751р | R207
16.05 20:14:04> 176: [447084] БЕРЛИН | 3д | 1608 км | 8961р | R206
16.05 20:14:04> 177: [461612] НОВОСИБИРСК | 4д | 2797 км | 11217р | R206
16.05 20:14:04> 178: [447822] ЧЭНДУ | 7д | 5789 км | 28668р | R203
16.05 20:14:04> 179: [459055] OSLO | 4д | 1643 км | 11701р | R202
16.05 20:14:04> 180: [451645] ЛОС-АНДЖЕЛЕС | 47д | 9772 км | 29338р | R201
16.05 20:14:04> 181: [451489] ВАРШАВА | 8д | 1156 км | 8794р | R197
16.05 20:14:04> 182: [466776] САН-СЕБАСТЬЯН | 12д | 3119 км | 29857р | R196
16.05 20:14:04> 183: [450207] ЗАДАР | 8д | 2039 км | 24443р | R196
16.05 20:14:04> 184: [466716] ТРАБЗОН | 13д | 1649 км | 15904р | R188
16.05 20:14:04> 185: [473835] ОРЛАНДО | 14д | 9017 км | 34861р | R184
16.05 20:14:04> 186: [461938] УФА | 4д | 1164 км | 6470р | R177
16.05 20:14:04> 187: [451065] ТБИЛИСИ | 186д | 1654 км | 8722р | R169
16.05 20:14:04> 188: [455168] PANAMA CITY | 14д | 10804 км | 43992р | R162
16.05 20:14:04> 189: [454610] BILLUND | 3д | 1769 км | 14328р | R157
16.05 20:14:04> 190: [448788] НИЖНИЙ НОВГОРОД | 42д | 387 км | 4470р | R154
16.05 20:14:04> 191: [454590] CEBU | 21д | 8837 км | 43316р | R151
16.05 20:14:04> 192: [466774] ГРАНАДА | 13д | 3692 км | 28896р | R147
16.05 20:14:04> 193: [459205] SEATTLE | 17д | 8373 км | 46341р | R143
16.05 20:14:04> 194: [448407] КАЗАНЬ | 3д | 731 км | 4241р | R138
16.05 20:14:04> 195: [459617] СИАНУКВИЛЬ | 15д | 7536 км | 64113р | R136
16.05 20:14:04> 196: [465748] САН-ПАУЛУ | 30д | 11818 км | 61561р | R120
16.05 20:14:04> 197: [447766] ЛИМА | 17д | 12649 км | 59373р | R117
16.05 20:14:04> 198: [465887] СИАНЬ | 9д | 5768 км | 37155р | R115
16.05 20:14:04> 199: [457194] ЕРЕВАН | 14д | 1805 км | 7563р | R114
16.05 20:14:04> 200: [454905] TRONDHEIM | 3д | 1735 км | 22759р | R112
16.05 20:14:04> 201: [466671] ЦИНДАО | 13д | 6328 км | 36038р | R109
16.05 20:14:04> 202: [454542] KIEV | 10д | 756 км | 9335р | R100
16.05 20:14:04> 203: [454606] LEEDS | 1д | 2482 км | 21087р | R100
16.05 20:14:04> 204: [448118] ВИЛЬНЮС | 9д | 791 км | 7805р | R96
16.05 20:14:04> 205: [451699] ЧАНГ МАЙ | 14д | 6514 км | 40583р | R96
16.05 20:14:04> 206: [448764] ЛАС-ВЕГАС | 5д | 9481 км | 39367р | R95
16.05 20:14:04> 207: [459543] БРЕСТ | 7д | 2934 км | 30456р | R83
16.05 20:14:04> 208: [461877] РОСТОВ-НА-ДОНУ | 6д | 957 км | 3743р | R82
16.05 20:14:04> 209: [459378] САНТО-ДОМИНГО | 15д | 9366 км | 52568р | R75
16.05 20:14:04> 210: [459309] ФОРТ-ЛОДЕРДЕЙЛ | 21д | 9188 км | 40989р | R73
16.05 20:14:04> 211: [459506] САН-ХОСЕ | 14д | 10961 км | 70442р | R70
16.05 20:14:04> 212: [448083] МАНИЛА | 14д | 8259 км | 33444р | R59
16.05 20:14:04> 213: [466769] САН-ДИЕГО | 40д | 9892 км | 47301р | R58
16.05 20:14:04> 214: [454604] JEDDAH | 14д | 3793 км | 39900р | R38
16.05 20:14:04> 215: [459513] КИШИНЁВ | 62д | 1149 км | 8040р | R32
16.05 20:14:04> 216: [447016] ПРАГА | 5д | 1668 км | 9863р | R28
16.05 20:14:04> 217: [459485] ДАЛЯНЬ | 17д | 6175 км | 35464р | R20
16.05 20:14:04> 218: [459126] SALT LAKE CITY | 21д | 8905 км | 47432р | R16
16.05 20:14:04> 219: [458956] SHANGHAI | 15д | 6819 км | 32918р | R11
16.05 20:14:41> Started trip loader task
16.05 20:14:42> 1: [474737] НИЖНИЙ НОВГОРОД | 0д | 387 км | 4970р | R-314
16.05 20:14:42> 2: [473798] МИНСК | 1д | 675 км | 5068р | R-549
16.05 20:14:42> 3: [466880] КАЗАНЬ | 1д | 731 км | 5470р | R-466
16.05 20:14:42> 4: [448955] РОСТОВ-НА-ДОНУ | 2д | 957 км | 5470р | R-863
16.05 20:14:42> 5: [449356] САНКТ-ПЕТЕРБУРГ | 2д | 634 км | 5566р | R-1234
16.05 20:14:42> 6: [449015] УФА | 7д | 1164 км | 7270р | R-78
16.05 20:14:42> 7: [474559] КРАСНОДАР | 31д | 1197 км | 7470р | R-594
16.05 20:14:42> 8: [466208] ЕКАТЕРИНБУРГ | 5д | 1430 км | 7552р | R-406
16.05 20:14:42> 9: [459612] ВОРОНЕЖ | 29д | 451 км | 7615р | R-272
16.05 20:14:42> 10: [459542] КИШИНЁВ | 7д | 1149 км | 8477р | R-141
16.05 20:14:42> 11: [448595] АНАПА | 20д | 1207 км | 8819р | R257
16.05 20:14:42> 12: [459017] HELSINKI | 6д | 894 км | 9137р | R131
16.05 20:14:42> 13: [459345] ПЕРМЬ | 2д | 1141 км | 9600р | R-866
16.05 20:14:42> 14: [448135] ВИЛЬНЮС | 1д | 791 км | 9713р | R-470
16.05 20:14:42> 15: [459199] MUNICH | 11д | 1960 км | 9918р | R-393
16.05 20:14:42> 16: [449392] СТАМБУЛ | 20д | 1764 км | 10077р | R151
16.05 20:14:42> 17: [454511] KIEV | 24д | 756 км | 10158р | R9
16.05 20:14:42> 18: [447266] ВЕНА | 1д | 1670 км | 10875р | R-436
16.05 20:14:42> 19: [447043] ПРАГА | 6д | 1668 км | 11012р | R-179
16.05 20:14:42> 20: [459452] БАКУ | 1д | 1925 км | 11131р | R-375
16.05 20:14:42> 21: [449785] МИЛАН | 2д | 2286 км | 11150р | R-93
16.05 20:14:42> 22: [466130] ЕРЕВАН | 4д | 1805 км | 11188р | R-502
16.05 20:14:42> 23: [450359] БЕРЛИН | 8д | 1608 км | 11744р | R-270
16.05 20:14:42> 24: [458948] КЁЛЬН | 3д | 2085 км | 11927р | R-408
16.05 20:14:42> 25: [450454] АМСТЕРДАМ | 13д | 2148 км | 12026р | R234
16.05 20:14:42> 26: [447013] БУДАПЕШТ | 4д | 1569 км | 12032р | R-236
16.05 20:14:42> 27: [467074] РИМ | 171д | 2377 км | 12061р | R70
16.05 20:14:42> 28: [459158] COPENHAGEN | 3д | 1559 км | 12066р | R134
16.05 20:14:42> 29: [447335] ТБИЛИСИ | 38д | 1654 км | 12306р | R-446
16.05 20:14:42> 30: [466916] ГЕЛЕНДЖИК | 36д | 1244 км | 12370р | R167
16.05 20:14:42> 31: [464648] ЛОНДОН | 14д | 2489 км | 12390р | R186
16.05 20:14:42> 32: [447459] ВАРШАВА | 7д | 1156 км | 12446р | R-257
16.05 20:14:42> 33: [461669] ФРАНКФУРТ | 5д | 2031 км | 12503р | R13
16.05 20:14:42> 34: [448021] РИГА | 2д | 849 км | 12636р | R-663
16.05 20:14:42> 35: [446795] ПАРИЖ | 4д | 2487 км | 12782р | R200
16.05 20:14:42> 36: [447853] ТЕЛЬ-АВИВ | 9д | 2650 км | 12831р | R206
16.05 20:14:42> 37: [448685] НОВОСИБИРСК | 6д | 2797 км | 13257р | R-87
16.05 20:14:42> 38: [455533] GOTHENBORG | 3д | 1569 км | 13341р | R267
16.05 20:14:42> 39: [466519] АНТАЛЬЯ | 3д | 2159 км | 13397р | R339
16.05 20:14:42> 40: [459501] СТРАСБУРГ | 7д | 2167 км | 13452р | R650
16.05 20:14:42> 41: [459076] OSLO | 2д | 1643 км | 13812р | R-308
16.05 20:14:42> 42: [455289] BUCHAREST | 1д | 1499 км | 13982р | R-214
16.05 20:14:42> 43: [454650] THESSALONIKI | 13д | 2004 км | 14005р | R-8
16.05 20:14:42> 44: [447304] БЕЛГРАД | 23д | 1714 км | 14088р | R-96
16.05 20:14:42> 45: [472482] ТИВАТ | 7д | 2011 км | 14174р | R84
16.05 20:14:42> 46: [449695] БАРСЕЛОНА | 88д | 3010 км | 14176р | R-180
16.05 20:14:42> 47: [459049] GENEVA | 14д | 2419 км | 14189р | R431
16.05 20:14:42> 48: [474079] ТАЛЛИН | 0д | 867 км | 14391р | R-517
16.05 20:14:42> 49: [448352] СОФИЯ | 7д | 1775 км | 14708р | R-47
16.05 20:14:42> 50: [463763] ДЮССЕЛЬДОРФ | 1д | 2083 км | 14720р | R-721
16.05 20:14:42> 51: [448565] АФИНЫ | 6д | 2229 км | 14734р | R58
16.05 20:14:42> 52: [452579] ВЕНЕЦИЯ | 3д | 2103 км | 14981р | R127
16.05 20:14:42> 53: [447609] НИЦЦА | 4д | 2537 км | 15100р | R313
16.05 20:14:42> 54: [455187] MULHOUSE | 14д | 2244 км | 15108р | R517
16.05 20:14:42> 55: [459248] ЛАРНАКА | 7д | 2341 км | 15285р | R-337
16.05 20:14:42> 56: [473617] БРЮССЕЛЬ | 0д | 2253 км | 15547р | R-504
16.05 20:14:42> 57: [457508] ОДЕССА | 156д | 1142 км | 15553р | R-104
16.05 20:14:42> 58: [459626] НЮРНБЕРГ | 36д | 1910 км | 15642р | R251
16.05 20:14:42> 59: [473702] ВЕРОНА | 0д | 2182 км | 15652р | R-317
16.05 20:14:42> 60: [455357] LJUBLJANA | 6д | 1922 км | 15742р | R186
16.05 20:14:42> 61: [466716] ТРАБЗОН | 13д | 1649 км | 15904р | R188
16.05 20:14:42> 62: [465026] МАДРИД | 16д | 3441 км | 15971р | R-7
16.05 20:14:42> 63: [447367] БАТУМИ | 7д | 1599 км | 16139р | R139
16.05 20:14:42> 64: [459470] ТИРАНА | 11д | 2055 км | 16263р | R236
16.05 20:14:42> 65: [460990] БОЛОНЬЯ | 3д | 2232 км | 16882р | R79
16.05 20:14:42> 66: [448523] АЛМАТЫ | 7д | 3105 км | 16959р | R-173
16.05 20:14:42> 67: [454468] ГАННОВЕР | 2д | 1845 км | 17036р | R-450
16.05 20:14:42> 68: [451879] ДУБАЙ | 9д | 3682 км | 17398р | R215
16.05 20:14:42> 69: [448824] ВАРНА | 1д | 1558 км | 17639р | R-147
16.05 20:14:42> 70: [448833] ДРЕЗДЕН | 1д | 1651 км | 17673р | R-313
16.05 20:14:42> 71: [466080] САРАЕВО | 6д | 1905 км | 17727р | R85
16.05 20:14:42> 72: [474256] ЛЬВОВ | 0д | 1128 км | 18026р | R-637
16.05 20:14:42> 73: [468051] ЛИССАБОН | 8д | 3908 км | 18068р | R39
16.05 20:14:42> 74: [455750] BIRMINGHAM | 14д | 2565 км | 18070р | R266
16.05 20:14:42> 75: [455820] STUTTGART | 2д | 2067 км | 18164р | R-549
16.05 20:14:42> 76: [465863] ЭДИНБУРГ | 35д | 2510 км | 18236р | R254
16.05 20:14:42> 77: [447694] ЗАГРЕБ | 4д | 1869 км | 18563р | R-115
16.05 20:14:42> 78: [455565] HERAKLION | 14д | 2460 км | 18726р | R293
16.05 20:14:42> 79: [457794] ДУБЛИН | 6д | 2790 км | 18798р | R178
16.05 20:14:42> 80: [459303] АЛИКАНТЕ | 22д | 3410 км | 18917р | R-28
16.05 20:14:42> 81: [454616] BREMEN | 1д | 1876 км | 18997р | R-280
16.05 20:14:42> 82: [454611] BILLUND | 2д | 1769 км | 19005р | R-555
16.05 20:14:42> 83: [466804] ЛИОН | 2д | 2528 км | 19818р | R-313
16.05 20:14:42> 84: [448763] МАРСЕЛЬ | 7д | 2673 км | 19930р | R152
16.05 20:14:42> 85: [459653] ПАЛЬМА | 7д | 3123 км | 19969р | R334
16.05 20:14:42> 86: [466370] ТУРИН | 12д | 2404 км | 20035р | R-26
16.05 20:14:42> 87: [468923] КРАКОВ | 2д | 1346 км | 20085р | R-325
